ItemID,SKU,Product Name,Price,Category
1,SKU-2E7PH9G,Abstract 3D Backgrounds Collection,2.5,General Purpose
2,SKU-G0425H0,Abstract 3D Render Pack,2.5,General Purpose
3,SKU-Y77N11E,Abstract Background Image,1.25,General Purpose
4,SKU-5IA3N73,Abstract Brush Stroke Backgrounds,1.75,General Purpose
5,SKU-9GY3N88,Abstract Colorful Backgrounds,2.0,General Purpose
6,SKU-AJ929C8,Abstract Geometric Patterns,2.25,General Purpose
7,SKU-NHZLII4,Abstract Line Art Illustrations,2.0,General Purpose
8,SKU-MMQI6ON,Abstract Paint Strokes Set,1.5,General Purpose
9,SKU-UHH12BT,Black and White Abstract Art,2.25,General Purpose
10,SKU-S91W405,Black and White Photography Bundle,3.25,General Purpose
11,SKU-0L99U84,Business Icons Set,1.0,General Purpose
12,SKU-EV48074,Canva Blog Post Graphic Templates,2.0,Canva
13,SKU-SRXBY20,Canva Business Card Design,1.75,Canva
14,SKU-84LU22B,Canva Ebook Cover Design,4.0,Canva
15,SKU-08FH3XF,Canva Facebook Ad Templates,3.25,Canva
16,SKU-KEQ49GR,Canva Facebook Cover Design,2.5,Canva
17,SKU-BZQ5U73,Canva Facebook Post Templates,1.25,Canva
18,SKU-691QDRA,Canva Instagram Carousel Templates,2.75,Canva
19,SKU-F4WZI5F,Canva Instagram Grid Templates,2.25,Canva
20,SKU-7H6395A,Canva Instagram Highlight Covers,2.0,Canva
21,SKU-T350U1E,Canva Instagram Post Design,1.5,Canva
22,SKU-0Z9RG75,Canva Instagram Post Templates,1.5,Canva
23,SKU-62Y8K56,Canva Instagram Story Highlight Covers,1.75,Canva
24,SKU-9531SO5,Canva Instagram Story Templates,1.5,Canva
25,SKU-58LVVC4,Canva Pinterest Graphic Templates,1.75,Canva
26,SKU-PKXVBAS,Canva Pinterest Pin Templates,2.5,Canva
27,SKU-BPL4SU8,Canva Pinterest Quote Templates,2.5,Canva
28,SKU-TMR32Y0,Canva Presentation Slide Templates,2.25,Canva
29,SKU-36KKQUH,Canva Quote Graphic Templates,1.5,Canva
30,SKU-3M747A2,Canva Quote Poster Templates,1.75,Canva
31,SKU-95QFB65,Canva Social Media Banner Templates,2.75,Canva
32,SKU-103355J,Canva Social Media Post Templates,4.0,Canva
33,SKU-594OXJ1,Canva Social Media Quote Graphics,2.0,Canva
34,SKU-902SF50,Canva Twitter Header Templates,1.5,Canva
35,SKU-O45O190,Canva Twitter Post Templates,2.25,Canva
36,SKU-2EBL7LF,Canva YouTube Channel Art Templates,3.0,Canva
37,SKU-9DJXATV,Canva YouTube Thumbnail Templates,1.25,Canva
38,SKU-DVEI37I,Colorful Gradients Collection,1.0,General Purpose
39,SKU-J8K2C53,Digital Brush Stroke Set,1.25,General Purpose
40,SKU-BOL1981,Digital Paper Texture Collection,1.5,General Purpose
41,SKU-89HK1P0,Digital Watercolor Backgrounds,1.75,General Purpose
42,SKU-SJ648Q2,Digital Watercolor Texture Pack,2.75,General Purpose
43,SKU-E05K058,Excel Budget Spreadsheet Template,2.5,Microsoft Excel
44,SKU-4129WHS,Excel Budget Tracking Spreadsheet,3.0,Microsoft Excel
45,SKU-7I145GT,Excel Business Expense Spreadsheet,2.0,Microsoft Excel
46,SKU-P92E903,Excel Business Plan Template,4.5,Microsoft Excel
47,SKU-PUDB3HT,Excel Employee Performance Tracker,4.0,Microsoft Excel
48,SKU-0G10X6X,Excel Employee Schedule Template,3.0,Microsoft Excel
49,SKU-G4B68T3,Excel Expense Report Template,2.0,Microsoft Excel
50,SKU-W20626K,Excel Financial Planning Spreadsheet,2.5,Microsoft Excel
51,SKU-5QMLA3N,Excel Gantt Chart Template,4.0,Microsoft Excel
52,SKU-4AJQL34,Excel Inventory Tracking Spreadsheet,2.5,Microsoft Excel
53,SKU-M932F8M,Excel Mileage Log Spreadsheet,1.0,Microsoft Excel
54,SKU-36T5LNS,Excel Personal Finance Spreadsheet,2.0,Microsoft Excel
55,SKU-32W026T,Excel Project Budget Template,2.0,Microsoft Excel
56,SKU-ZT513VO,Excel Project Management Dashboard,4.5,Microsoft Excel
57,SKU-73F35C7,Excel Project Management Template,4.5,Microsoft Excel
58,SKU-R02C39T,Excel Project Task Tracker Template,4.0,Microsoft Excel
59,SKU-COFJZ9E,Excel Project Timeline Template,3.0,Microsoft Excel
60,SKU-6042813,Excel Sales Dashboard Template,3.0,Microsoft Excel
61,SKU-K0E2BG8,Excel Sales Forecast Dashboard,2.0,Microsoft Excel
62,SKU-7T24KLG,Excel Sales Forecast Spreadsheet,3.5,Microsoft Excel
63,SKU-1JOJMP1,Excel Sales Performance Dashboard,3.75,Microsoft Excel
64,SKU-QO880U8,Excel Sales Tracking Spreadsheet,4.0,Microsoft Excel
65,SKU-4TOH200,Excel Task Time Tracker Spreadsheet,1.75,Microsoft Excel
66,SKU-56W04HN,Excel Time Management Spreadsheet,1.5,Microsoft Excel
67,SKU-525LB74,Excel Time Tracking Spreadsheet,1.0,Microsoft Excel
68,SKU-NYUYD8I,Flat Design Backgrounds Pack,2.25,General Purpose
69,SKU-86929RA,Flat Design Character Illustrations,1.25,General Purpose
70,SKU-3D5UY8I,Flat Design Icons Pack,1.5,General Purpose
71,SKU-LE9O8A4,Geometric Patterns Bundle,3.5,General Purpose
72,SKU-976Q8CZ,Google Docs Booklet Template,2.5,Google Docs
73,SKU-77A75F3,Google Docs Business Card Template,1.5,Google Docs
74,SKU-507E36V,Google Docs Business Invoice Template,3.0,Google Docs
75,SKU-OU5C1LS,Google Docs Business Plan Template,3.5,Google Docs
76,SKU-R725EKQ,Google Docs Calendar Template,1.75,Google Docs
77,SKU-W3HL7B9,Google Docs Company Newsletter,2.25,Google Docs
78,SKU-O8C0197,Google Docs Company Profile Template,3.0,Google Docs
79,SKU-36OGBUW,Google Docs Customer Feedback Form,2.5,Google Docs
80,SKU-Q3H5S3X,Google Docs Employee Evaluation Form,2.75,Google Docs
81,SKU-92M07XI,Google Docs Employee Handbook Template,3.0,Google Docs
82,SKU-M2A70KK,Google Docs Event Flyer Template,3.0,Google Docs
83,SKU-8D9KH86,Google Docs Gift Certificate Template,2.25,Google Docs
84,SKU-B0AMD6H,Google Docs Invoice Template,3.0,Google Docs
85,SKU-3TCW0FS,Google Docs Lesson Plan Template,2.0,Google Docs
86,SKU-31PJ3W8,Google Docs Marketing Plan Template,2.5,Google Docs
87,SKU-KHU461H,Google Docs Meeting Agenda Template,2.0,Google Docs
